Date;Time;Eur/MWh
05.03.2026;17:45 - 18:00;207,89
05.03.2026;18:00 - 18:15;201,85
05.03.2026;18:15 - 18:30;189,95
05.03.2026;18:30 - 18:45;185
05.03.2026;18:45 - 19:00;183,84
05.03.2026;19:00 - 19:15;189,9
05.03.2026;19:15 - 19:30;180,38
05.03.2026;19:30 - 19:45;169,96
05.03.2026;19:45 - 20:00;161,85
05.03.2026;20:00 - 20:15;161,54
05.03.2026;20:15 - 20:30;152,17
05.03.2026;20:30 - 20:45;149,9
05.03.2026;20:45 - 21:00;134,25
05.03.2026;21:00 - 21:15;157,15
05.03.2026;21:15 - 21:30;148,88
05.03.2026;21:30 - 21:45;131,91
05.03.2026;21:45 - 22:00;115,7
05.03.2026;22:00 - 22:15;143,08
05.03.2026;22:15 - 22:30;137,41
05.03.2026;22:30 - 22:45;134,77
05.03.2026;22:45 - 23:00;131,8
05.03.2026;23:00 - 23:15;138,28
05.03.2026;23:15 - 23:30;128,7
05.03.2026;23:30 - 23:45;125,19
05.03.2026;23:45 - 00:00;118,91
06.03.2026;00:00 - 00:15;106,67
06.03.2026;00:15 - 00:30;110,55
06.03.2026;00:30 - 00:45;110,7
06.03.2026;00:45 - 01:00;110,69
06.03.2026;01:00 - 01:15;111,09
06.03.2026;01:15 - 01:30;111,77
06.03.2026;01:30 - 01:45;112,15
06.03.2026;01:45 - 02:00;111,98
06.03.2026;02:00 - 02:15;115,24
06.03.2026;02:15 - 02:30;115,24
06.03.2026;02:30 - 02:45;115,12
06.03.2026;02:45 - 03:00;115,31
06.03.2026;03:00 - 03:15;115,04
06.03.2026;03:15 - 03:30;114,83
06.03.2026;03:30 - 03:45;115,73
06.03.2026;03:45 - 04:00;117,77
06.03.2026;04:00 - 04:15;116,63
06.03.2026;04:15 - 04:30;116,98
06.03.2026;04:30 - 04:45;125,85
06.03.2026;04:45 - 05:00;130,94
06.03.2026;05:00 - 05:15;121,25
06.03.2026;05:15 - 05:30;128,52
06.03.2026;05:30 - 05:45;141,8
06.03.2026;05:45 - 06:00;159,99
06.03.2026;06:00 - 06:15;135,18
06.03.2026;06:15 - 06:30;158,3
06.03.2026;06:30 - 06:45;168,04
06.03.2026;06:45 - 07:00;175,04
06.03.2026;07:00 - 07:15;193,98
06.03.2026;07:15 - 07:30;176,39
06.03.2026;07:30 - 07:45;149,43
06.03.2026;07:45 - 08:00;118,06
06.03.2026;08:00 - 08:15;191,74
06.03.2026;08:15 - 08:30;154
06.03.2026;08:30 - 08:45;118,71
